study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,unknown_stream_fraction,initial_template_count,final_template_count
toy_recreated_chronological_threshold_sweep,thr16,0.41402017170959404,0.40965236153126505,0.41240498708146434,0.9994998749687422,0.41422733716954385,0.0005001250312578145,0.0005001250312578145,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr18,0.41414520296740853,0.40969192678424976,0.4125252950699148,1.0,0.41414520296740853,0.0,0.0,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr20,0.41414520296740853,0.40969192678424976,0.4125252950699148,1.0,0.41414520296740853,0.0,0.0,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr24,0.41414520296740853,0.40969192678424976,0.4125252950699148,1.0,0.41414520296740853,0.0,0.0,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr4,0.0011669584062682337,0.002314861520673206,0.001161446441912144,0.0012919896640826874,0.9032258064516129,0.9987080103359173,0.9987080103359173,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr6,0.014753688422105527,0.028417793900595054,0.014692577190737433,0.018421271984662833,0.8009049773755657,0.9815787280153372,0.9815787280153372,0.0,0,0.0,0.0,8,8
toy_recreated_chronological_threshold_sweep,thr8,0.07539384846211553,0.13040921786509438,0.07517630020370006,0.10594315245478036,0.7116443745082612,0.8940568475452196,0.8940568475452196,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr10,0.053501945525291826,0.08994574727158819,0.05387614426374705,0.19455252918287938,0.275,0.8054474708171206,0.8054474708171206,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr12,0.14218547341115434,0.17872136114403503,0.14264670075219288,0.5951686121919585,0.23889948242985562,0.4048313878080415,0.4048313878080415,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr14,0.20249675745784695,0.20717118572015975,0.20268495518258714,0.9479571984435797,0.21361381905250557,0.052042801556420236,0.052042801556420236,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr16,0.21108949416342412,0.20974394069806335,0.211120299085439,0.9998378728923476,0.21112372304199772,0.00016212710765239947,0.00016212710765239947,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr18,0.21108949416342412,0.2097259004579979,0.211120299085439,1.0,0.21108949416342412,0.0,0.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr20,0.21108949416342412,0.2097259004579979,0.211120299085439,1.0,0.21108949416342412,0.0,0.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr24,0.21108949416342412,0.2097259004579979,0.211120299085439,1.0,0.21108949416342412,0.0,0.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr6,0.0011348897535667965,0.0022930184160979425,0.0011512984567619681,0.0025940337224383916,0.4375,0.9974059662775616,0.9974059662775616,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_threshold_sweep,thr8,0.010538261997405967,0.020230125460505895,0.010482647795137644,0.032101167315175094,0.3282828282828283,0.9678988326848249,0.9678988326848249,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_update_compare,confidence_weighted,0.14445525291828792,0.14285705270465943,0.14399652854105735,1.0,0.14445525291828792,0.0,0.0,0.0,169,0.8165680473372781,0.0,8,8
real_top8_oldlike_random_update_compare,cooldown,0.19017509727626458,0.1885070840945635,0.19010993211809354,0.9998378728923476,0.19020593481433437,0.00016212710765239947,0.00016212710765239947,0.0,221,0.8099547511312217,0.0,8,8
real_top8_oldlike_random_update_compare,counter,0.1890402075226978,0.18752926991595897,0.1896180174032026,1.0,0.1890402075226978,0.0,0.0,0.0,123,0.7967479674796748,0.0,8,8
real_top8_oldlike_random_update_compare,dual_template,0.20849546044098574,0.20681263275273953,0.20959174934472918,1.0,0.20849546044098574,0.0,0.0,0.0,4,1.0,0.0,8,8
real_top8_oldlike_random_update_compare,growing,0.21108949416342412,0.20974394069806335,0.211120299085439,0.9998378728923476,0.21112372304199772,0.00016212710765239947,0.00016212710765239947,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_update_compare,margin_ema,0.20363164721141375,0.20267302776894403,0.20391123289667995,1.0,0.20363164721141375,0.0,0.0,0.0,75,0.9066666666666666,0.0,8,8
