study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,initial_template_count,final_template_count,unknown_stream_fraction
threshold_drift_closed,thr20,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr24,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr4,0.0030877812086457872,0.005703867255452963,0.0029089397953353073,0.0030877812086457872,1.0,0.9969122187913542,0.9969122187913542,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr6,0.03352448169386855,0.05948487812359494,0.032490313753875594,0.04146449051610057,0.8085106382978723,0.9585355094838994,0.9585355094838994,0.0,0,0.0,12,12,0.0
threshold_drift_closed,thr8,0.12968681076312308,0.1978256027408131,0.12815239723199787,0.20335244816938686,0.6377440347071583,0.7966475518306132,0.7966475518306132,0.0,0,0.0,12,12,0.0
threshold_open_memory,thr10,0.24455205811138014,0.22383799468880472,0.2342888113121114,0.550297160466652,0.4444,0.449702839533348,0.12436715826546335,0.15298261060972926,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr12,0.2826326216156725,0.20815343160410976,0.2707766746158423,0.8208232445520581,0.34432823813354785,0.1791767554479419,0.031476997578692496,0.3306185340083645,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr14,0.2920977327756989,0.1918932925721852,0.279689669115747,0.9795289456306405,0.29820224719101124,0.020471054369359455,0.0013207131851199648,0.4591679506933744,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr16,0.29231785163988555,0.18950611866763928,0.27990153352252667,0.9995597622716267,0.2924465976657124,0.00044023772837332157,0.0,0.4778780541492406,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr18,0.29231785163988555,0.1894812546126671,0.27990153352252667,1.0,0.29231785163988555,0.0,0.0,0.47831829187761393,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr20,0.29231785163988555,0.1894812546126671,0.27990153352252667,1.0,0.29231785163988555,0.0,0.0,0.47831829187761393,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr24,0.29231785163988555,0.1894812546126671,0.27990153352252667,1.0,0.29231785163988555,0.0,0.0,0.47831829187761393,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr4,0.01915034118423949,0.03385244979739889,0.018338996481418863,0.025533788245652653,0.75,0.9744662117543473,0.49922958397534667,0.0030816640986132513,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr6,0.07726172132951795,0.11190963313905769,0.0738594695028056,0.12062513757429012,0.6405109489051095,0.8793748624257098,0.41954655513977546,0.01848998459167951,0,0.0,10,10,0.47831829187761393
threshold_open_memory,thr8,0.1690512876953555,0.19171863017148602,0.1618627949485871,0.30332379484921856,0.5573294629898403,0.6966762051507814,0.275148580233326,0.056790666960158484,0,0.0,10,10,0.47831829187761393
protocol_compare_easy,chronological_static,0.5,0.4912135008811717,0.4971983932713602,1.0,0.5,0.0,0.0,0.0,0,0.0,8,8,0.0
protocol_compare_easy,random_static,0.5099502487562189,0.49424049122454716,0.5057227412036234,0.9991708126036484,0.5103734439834025,0.0008291873963515755,0.0008291873963515755,0.0,0,0.0,8,8,0.0
update_compare_dense_stable,confidence_weighted,0.27047038327526135,0.26830526798434484,0.27177831704647976,1.0,0.27047038327526135,0.0,0.0,0.0,255,0.6862745098039216,12,12,0.0
update_compare_dense_stable,cooldown,0.5487804878048781,0.5454815735915542,0.5450482436730865,1.0,0.5487804878048781,0.0,0.0,0.0,18,0.4444444444444444,12,12,0.0
update_compare_dense_stable,counter,0.5470383275261324,0.5411957728240093,0.5439760660033864,1.0,0.5470383275261324,0.0,0.0,0.0,67,0.3283582089552239,12,12,0.0
